rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
149,"spotify:track:7MoZgM6AsQaZw14WnKopuy","Ovy On The Drums, Danny Ocean, KAROL G","Miedito o Qué? (feat. KAROL G)","WEA Latina",80,157,110,"25315"
150,"spotify:track:71R8HJxQk5qMiRstrlXN9t","Rauw Alejandro, Mr. Naisgai","2/Catorce","Sony Music Latin/Duars Entertainment",150,164,14,"25290"
151,"spotify:track:5EbtodsuLbxrFDH6j5avVS","Camilo, Pablo Alborán","El Mismo Aire - con Pablo Alborán","Sony Music Latin",25,141,292,"25272"
152,"spotify:track:7wy5kv4fYAsR9qFxKKZC5E","KAROL G, NATHY PELUSO","GATO MALO","UMLE - Latino",132,132,4,"25240"
153,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",141,161,173,"24967"
154,"spotify:track:3JHpk0DOTOzyh0777JFAky","Myke Towers","Diosa","2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",7,148,431,"24770"
155,"spotify:track:0GmiGIxXDNrePrHBpijYDp","Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","Full Harmony",4,154,594,"24704"
156,"spotify:track:2KTCXvWUbqfiinbFe7PJKP","NATTI NATASHA, Cazzu, FARIANA, La Duraca","Las Nenas (feat. La Duraca)","Sony Music Latin",121,167,20,"24681"
157,"spotify:track:43PXER25C9JkExLBd5dObG","Wisin, Myke Towers, Maluma, Anitta, Los Legendarios","Mi Niña - Remix","La Base Music Group/ WK Records",97,176,25,"24513"
158,"spotify:track:0SqqAgdovOE24BzxIClpjw","Bad Bunny","Yo Perreo Sola","Rimas Entertainment LLC",2,139,395,"24488"
159,"spotify:track:2fwycfb0beKkeRQ9JH8dmU","Kiddtetoon, Polimá Westcoast, Julianno Sosa","Phantom","Deep Music",127,174,45,"24456"
160,"spotify:track:0KkIkfsLEJbrcIhYsCL7L5","Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin","China","2020 Real Hasta La Muerte, LLC",1,150,619,"24453"
161,"spotify:track:5cpJFiNwYyWwFLH0V6B3N8","Ozuna, Doja Cat, Sia","Del Mar","Aura Music Corp.",63,160,200,"24452"
162,"spotify:track:47ZS1OjnJpJVfGN9yHXfMn","Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno","Toda (Remix)","Los Oídos Fresh",8,155,533,"24443"
163,"spotify:track:1diS6nkxMQc3wwC4G1j0bh","Dua Lipa","We're Good","Warner Records",109,170,41,"24382"
164,"spotify:track:74j34STf8L6uADnTN69ohv","Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","El Efecto - Remix","(SME US Latin) Duars Entertainment, Corp. (2)",10,163,473,"24327"
165,"spotify:track:6EHrppRT1Uj4cyShAujxFu","Papu DJ, L-Gante","L-Gante: RKT SESSIONS #1","PAPU DJ",95,166,39,"24047"
166,"spotify:track:7sQKy5vlPQllr0k9IjYJv3","Arcángel, Sech, Dímelo Flow","Sigues Con El","Rimas Entertainment LLC.",2,162,473,"24011"
167,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",150,175,39,"24001"
168,"spotify:track:2gzOFnP4J0AytvaPd86Rhm","Sech, Arcángel","Te Acuerdas","Rich Music",126,178,11,"23527"
169,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",151,151,78,"23409"
170,"spotify:track:7meQTf97i7gyAzeHTLIytv","Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell","Mírame - Remix","Flow La Movie, Inc.",17,183,522,"23294"
171,"spotify:track:3s2pqCMbWnocIzhKJF55Ls","KEVIN ROLDAN, De La Ghetto, Mackie, Lyanno, Miky Woodz, KEVVO, Chain Trackz","Manantial - Remix","UMLE - Latino",171,-1,2,"23260"
172,"spotify:track:3VT8hOC5vuDXBsHrR53WFh","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",170,189,3,"23181"
173,"spotify:track:2lCkncy6bIB0LTMT7kvrD1","J Balvin","Azul","UMLE - Latino",25,173,375,"23057"
174,"spotify:track:02qrtIRuwbGgs2wCvdOFme","Paloma Mami","For Ya","Sony Music Latin",48,165,91,"22989"
175,"spotify:track:1Hs0fpydWBjawdgCocPaC7","Lyanno, Rauw Alejandro","Poderosa","Rimas Entertainment LLC",175,-1,2,"22848"
