"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"mar-23","Spotify","8","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"mar-23","Spotify","9","Jairo Vera, Nickoog Clk, Gino Mella, Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey","Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix","CL, CL","Urbano"
"mar-23","Spotify","10","Gino Mella, Best","TE EXO DE MENOS :(","CL","Urbano"
"mar-23","Spotify","11","Bizarrap, Arcángel","Arcángel: Bzrp Music Sessions, Vol. 54","AR, PR","Urbano"
"mar-23","Spotify","12","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"mar-23","Spotify","13","KAROL G","MIENTRAS ME CURO DEL CORA","CO","Urbano"
"mar-23","Spotify","14","Anuel AA, Mambo Kingz, DJ Luian","Mas Rica Que Ayer","PR, PR, PR","Urbano"
"mar-23","Spotify","15","Jere Klein","Ya No Pienso en Ti","CL","Urbano"
"mar-23","Spotify","16","TINI","Cupido","AR","Pop"
"mar-23","Spotify","17","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"mar-23","Spotify","18","Manuel Turizo","La Bachata","CO","Urbano"
"mar-23","Spotify","19","Milo j, Taiu","Rara Vez","AR, AR","Urbano"
"mar-23","Spotify","20","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"mar-23","Spotify","21","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"mar-23","Spotify","22","Feid","Normal","CO","Urbano"
"mar-23","Spotify","23","Jairo Vera, Best","Con Puras de 25","CL","Urbano"
"mar-23","Spotify","24","LiL CaKe, Migrantes, Nico Valdi","MERCHO","AR","Urbano"
"mar-23","Spotify","25","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"mar-23","Spotify","26","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"mar-23","Spotify","27","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"mar-23","Spotify","28","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"mar-23","Spotify","29","Jere Klein","Ram","CL","Urbano"
"mar-23","Spotify","30","Feid","REMIX EXCLUSIVO","CO","Urbano"
"mar-23","Spotify","31","Noriel, Pailita","Be Con Be","PR","Urbano"
"mar-23","Spotify","32","Jairo Vera","PA K TE ENAMORE","CL","Urbano"
"mar-23","Spotify","33","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"mar-23","Spotify","34","Quevedo","PUNTO G","ES","Urbano"
"mar-23","Spotify","35","Balbi El Chamako, Jere Klein","Ese Corte","CL, CL","Urbano"
"mar-23","Spotify","36","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"mar-23","Spotify","37","Jairo Vera","Lealtad","CL","Urbano"
"mar-23","Spotify","38","Jere Klein","6.5","CL","Urbano"
"mar-23","Spotify","39","KAROL G","PROVENZA","CO","Urbano"
"mar-23","Spotify","40","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","AR","Urbano"
"mar-23","Spotify","41","Yng Lvcas, Peso Pluma","La Bebe - Remix","MX","Urbano"
"mar-23","Spotify","42","Lucky Brown, Jere Klein, Valdi","Vengo De La Brea","CL","Urbano"
"mar-23","Spotify","43","Nickoog Clk, ITHAN NY, Lucky Brown, Izahn","Glocko","CL","Urbano"
"mar-23","Spotify","44","Quevedo","VISTA AL MAR","ES","Urbano"
"mar-23","Spotify","45","Ñengo Flow, Bad Bunny","Gato de Noche","PR, PR","Urbano"
"mar-23","Spotify","46","Eladio Carrion, Myke Towers","Si La Calle Llama - Remix","PR, PR","Urbano"
"mar-23","Spotify","47","Yong Bryel, Jere Klein, El BAI","Los Rockstars","CL, CL","Urbano"
"mar-23","Spotify","48","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","CL, CL, CL","Urbano"
"mar-23","Spotify","49","Quevedo","WANDA","ES","Urbano"
"mar-23","Spotify","50","Bad Bunny, Chencho Corleone","Me Porto Bonito","PR, PR","Urbano"
"mar-23","Spotify","51","Cris Mj","Una Noche en Medellín","CL","Urbano"
"mar-23","Spotify","52","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","PR","Urbano"
"mar-23","Spotify","53","Gino Mella, Jairo Vera","Mujeriego","CL","Urbano"
"mar-23","Spotify","54","Mora, Feid","LA INOCENTE","SE, CO","Urbano"
"mar-23","Spotify","55","Miley Cyrus","Flowers","US","Pop"
"mar-23","Spotify","56","Gorillaz, Bad Bunny","Tormenta (feat. Bad Bunny)","PR","Urbano"
"mar-23","Spotify","57","Bad Bunny, Bomba Estéreo","Ojitos Lindos","PR, CO","Urbano"
"mar-23","Spotify","58","KAROL G, Quevedo","PERO TÚ","CO","Urbano"
"mar-23","Spotify","59","Pailita","Parcera","CL","Urbano"
"mar-23","Spotify","60","Jimin","Like Crazy","KR","Pop"
"mar-23","Spotify","61","Bad Bunny","Efecto","PR","Urbano"
"mar-23","Spotify","62","KAROL G, Maldy","GATÚBELA","CO, PR","Urbano"
"mar-23","Spotify","63","Rauw Alejandro, Lyanno, Brray","LOKERA","PR, PR, PR","Urbano"
"mar-23","Spotify","64","Julianno Sosa, Young Cister","GANAS","CL","Urbano"
"mar-23","Spotify","65","Stars Music Chile, Cris Mj, Ak4:20","Salió De Noche","CL","Urbano"
"mar-23","Spotify","66","Marshmello, Manuel Turizo","El Merengue","US, CO","Electrónica"
"mar-23","Spotify","67","Wisin & Yandel, ROSALÍA","Besos Moja2","PR, ES","Urbano"
"mar-23","Spotify","68","Cris Mj, Pablo Chill-E","Como Tu Ninguna - Remix","CL, CL","Urbano"
"mar-23","Spotify","69","Cris Mj, Ak4:20","Sin Seguro","CL","Urbano"
"mar-23","Spotify","70","ROSALÍA","DESPECHÁ","ES","Urbano"
"mar-23","Spotify","71","Cris Mj","Mi Facha","CL","Urbano"
"mar-23","Spotify","72","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","PR, CL","Urbano"
"mar-23","Spotify","73","BM, Phontana","M.A (Mejores Amigos)","KR","Urbano"
"mar-23","Spotify","74","FloyyMenor","pa la europa","CL","Urbano"
"mar-23","Spotify","75","Myke Towers","AGUARDIENTE","PR","Urbano"
